"id","d","m","y","pcp","max","min","pcp85","temp85"
1,"1/1/1991",1,1991,0,34.9,23.9,0,"34.9,23.9"
2,"1/2/1991",1,1991,30.8,33.9,26.9,40.7484,"33.9,26.9"
3,"1/3/1991",1,1991,6.3,31.1,25.9,8.3349,"31.1,25.9"
4,"1/4/1991",1,1991,0,32.9,24.9,0,"32.9,24.9"
5,"1/5/1991",1,1991,0,34.4,22.4,0,"34.4,22.4"
6,"1/6/1991",1,1991,0.9,32.4,25.1,1.1907,"32.4,25.1"
7,"1/7/1991",1,1991,1.9,30.9,25.7,2.5137,"30.9,25.7"
8,"1/8/1991",1,1991,0,34.7,24.4,0,"34.7,24.4"
9,"1/9/1991",1,1991,2.2,29.4,24.4,2.9106,"29.4,24.4"
10,"1/10/1991",1,1991,0,31.9,23.4,0,"31.9,23.4"
11,"1/11/1991",1,1991,0,33.9,23.4,0,"33.9,23.4"
12,"1/12/1991",1,1991,0,33.9,24.4,0,"33.9,24.4"
13,"1/13/1991",1,1991,0.1,31.9,24.7,0.1323,"31.9,24.7"
14,"1/14/1991",1,1991,0,30.9,24.9,0,"30.9,24.9"
15,"1/15/1991",1,1991,0,33.4,22.9,0,"33.4,22.9"
16,"1/16/1991",1,1991,2,30.9,24.4,2.646,"30.9,24.4"
17,"1/17/1991",1,1991,0,31.9,24.4,0,"31.9,24.4"
18,"1/18/1991",1,1991,0,31.9,23.4,0,"31.9,23.4"
19,"1/19/1991",1,1991,0,33.9,21.4,0,"33.9,21.4"
20,"1/20/1991",1,1991,0,35.4,21.9,0,"35.4,21.9"
21,"1/21/1991",1,1991,0,36.3,22.4,0,"36.3,22.4"
22,"1/22/1991",1,1991,0,34.4,22.4,0,"34.4,22.4"
23,"1/23/1991",1,1991,0,33.9,21.4,0,"33.9,21.4"
24,"1/24/1991",1,1991,2.8,31.7,24.4,3.7044,"31.7,24.4"
25,"1/25/1991",1,1991,0,32.9,24.4,0,"32.9,24.4"
26,"1/26/1991",1,1991,0,33.9,24.9,0,"33.9,24.9"
27,"1/27/1991",1,1991,0,33.9,22.1,0,"33.9,22.1"
28,"1/28/1991",1,1991,0,33.9,24.4,0,"33.9,24.4"
29,"1/29/1991",1,1991,0,34.1,23.4,0,"34.1,23.4"
30,"1/30/1991",1,1991,18.7,31.9,25.9,24.7401,"31.9,25.9"
31,"1/31/1991",1,1991,10.6,28.9,24.7,14.0238,"28.9,24.7"
32,"2/1/1991",2,1991,2.2,29.4,24.7,2.9106,"29.4,24.7"
33,"2/2/1991",2,1991,2,31.4,24.9,2.646,"31.4,24.9"
34,"2/3/1991",2,1991,5.1,33.9,24.9,6.7473,"33.9,24.9"
35,"2/4/1991",2,1991,4.7,32.9,26.1,6.2181,"32.9,26.1"
36,"2/5/1991",2,1991,3.3,30.4,25.2,4.3659,"30.4,25.2"
37,"2/6/1991",2,1991,2.1,31.9,24.9,2.7783,"31.9,24.9"
38,"2/7/1991",2,1991,0.6,34.4,26.4,0.7938,"34.4,26.4"
39,"2/8/1991",2,1991,0,34.9,24.9,0,"34.9,24.9"
40,"2/9/1991",2,1991,0,35.4,23.4,0,"35.4,23.4"
41,"2/10/1991",2,1991,0,35.4,24.9,0,"35.4,24.9"
42,"2/11/1991",2,1991,0,35.9,23.4,0,"35.9,23.4"
43,"2/12/1991",2,1991,0,32.4,24.1,0,"32.4,24.1"
44,"2/13/1991",2,1991,0,35.9,25.9,0,"35.9,25.9"
45,"2/14/1991",2,1991,0,35.4,24.1,0,"35.4,24.1"
46,"2/15/1991",2,1991,0,37.1,25.9,0,"37.1,25.9"
47,"2/16/1991",2,1991,0,35.1,25.9,0,"35.1,25.9"
48,"2/17/1991",2,1991,0,34.4,23.5,0,"34.4,23.5"
49,"2/18/1991",2,1991,0,34.4,24.9,0,"34.4,24.9"
50,"2/19/1991",2,1991,0,35.1,24.4,0,"35.1,24.4"
51,"2/20/1991",2,1991,0,33.9,24.7,0,"33.9,24.7"
52,"2/21/1991",2,1991,0,29.9,24.7,0,"29.9,24.7"
53,"2/22/1991",2,1991,8.3,27.3,23.9,10.9809,"27.3,23.9"
54,"2/23/1991",2,1991,0,27.7,22.9,0,"27.7,22.9"
55,"2/24/1991",2,1991,2.4,30.7,22.9,3.1752,"30.7,22.9"
