lwr_2050_45,upr_2050_45,m95_2050_45,PfR_2050_45,lwr_2050_85,upr_2050_85,m95_2050_85,PfR_2050_85,lwr_2070_45,upr_2070_45,m95_2070_45,PfR_2070_45,lwr_2070_85,upr_2070_85,m95_2070_85,PfR_2070_85
1.60356,13.496399,6.089659,0.118813915,1.672964,10.447879,5.140307,0.160124749,1.851126,13.642136,6.506793,0.135691801,1.646348,17.87233,7.667219,0.092117144
48.897289,130.374359,93.914307,0.375052958,50.418835,117.329979,88.390083,0.429718265,50.398388,125.527359,93.14296,0.401493255,45.042416,133.137131,95.379364,0.338315958
20.67452,50.587215,36.714962,0.408690615,21.415279,45.564007,34.599262,0.470004295,21.064106,48.545872,36.05632,0.433901074,19.436176,51.770271,36.791046,0.37543122
86.651779,183.101349,138.981995,0.473244897,90.041466,166.540253,132.084732,0.540658876,88.223221,177.406097,136.896179,0.497295316,79.563293,188.137756,139.183929,0.422899128
148.061539,295.90921,226.428497,0.500361374,153.987503,269.290405,215.501007,0.57182692,156.908066,292.813904,229.724854,0.535862757,145.711288,309.106323,233.988403,0.471395365
37.376072,87.516762,64.350494,0.427073296,39.207554,79.531403,60.870449,0.492982049,39.837257,87.783531,65.681175,0.453812424,36.909874,92.057213,67.109474,0.400944943
21.01214,38.557575,30.378782,0.544954915,21.512213,35.905342,29.344826,0.599136836,21.771484,38.335499,30.699209,0.567919672,20.831779,40.03019,31.049128,0.520401702
18.634241,46.441849,33.551491,0.401238138,19.064718,41.715622,31.644941,0.457016271,17.077,41.039097,30.289907,0.416115394,14.937916,43.306019,30.450815,0.344938564
3.030607,7.947083,5.522867,0.381348351,3.067607,7.598271,5.345812,0.403724347,2.968439,7.51648,5.254172,0.394924087,2.799403,7.60931,5.22403,0.367891833
3.368582,29.305607,15.123516,0.114946672,3.262938,24.04995,13.14853,0.13567338,2.825616,23.021715,11.959867,0.12273699,2.457869,25.191504,12.448092,0.097567378
8.661277,27.771564,19.796976,0.311875737,9.486291,25.47443,18.724834,0.372384819,8.221558,26.916969,18.752188,0.305441448,6.659856,28.135952,18.765152,0.236702707
10.2015,49.318073,31.448965,0.206851148,10.722062,42.802158,28.78664,0.250502837,11.470725,49.754871,32.831596,0.230544764,8.120833,54.131416,33.571667,0.150020701
24.870001,48.882,38.559921,0.508776257,25.966757,46.142185,36.999428,0.562755253,26.580675,49.712955,39.387062,0.534683062,24.687798,52.199051,39.84013,0.47295492
43.014336,105.409241,75.235855,0.408069877,43.15234,93.846733,70.656502,0.459817179,42.740974,100.72625,73.961143,0.424328057,38.912235,108.086174,75.907669,0.360011217
47.122425,101.189545,78.045914,0.465684721,48.519955,94.474434,74.681038,0.51357762,47.848656,98.283188,77.065193,0.486844769,42.407673,102.717224,77.859177,0.412858441
81.06559,168.396835,125.872437,0.481396162,84.355545,149.85144,119.101357,0.562927824,83.221565,161.342239,123.642448,0.515807674,77.533875,172.068115,126.355995,0.450599898
92.623245,193.29306,146.443771,0.479185569,95.657257,175.257874,138.980026,0.545808612,97.645218,192.557404,149.199417,0.507096668,89.846519,204.619827,152.027908,0.439089996
23.613676,43.339134,34.922352,0.544858049,24.518368,40.712223,33.700718,0.602236041,24.9114,43.613602,35.410641,0.571184192,23.356501,45.370041,35.722179,0.514800086
5.236964,13.466625,9.667263,0.388884669,5.398415,12.697125,9.282245,0.425168296,5.508847,13.430948,9.766951,0.410160698,5.063968,13.810603,9.775363,0.366672476
5.677333,22.776354,14.429767,0.249264347,5.561219,19.931528,13.268481,0.27901619,4.926521,19.601982,12.669512,0.251327697,4.148173,20.213295,12.224221,0.20522003
3.837452,12.021753,8.368748,0.319209021,4.035542,11.185899,8.006452,0.360770466,3.364864,10.934831,7.65778,0.307719799,2.180885,11.18564,7.410738,0.194971857
8.956239,42.310177,26.630903,0.21168049,9.195079,36.751057,24.274029,0.250199035,7.25249,35.437202,22.401823,0.204657523,5.248055,38.475342,22.591055,0.136400477
18.340818,51.84676,36.406109,0.353750514,19.464132,46.137169,34.088387,0.4218753,19.014784,50.961025,36.577709,0.373124049,15.246249,54.126923,37.028893,0.281675886
6.292711,17.768476,12.629695,0.354150294,6.551457,16.385166,12.005359,0.399840746,6.862043,17.840427,12.97909,0.38463446,6.118319,19.071436,13.215908,0.320810609
22.774218,71.355148,48.586372,0.319167133,22.917631,63.154354,45.225277,0.362882835,24.423079,71.699997,50.436203,0.340628731,22.964825,78.721169,53.37175,0.291723628
32.390751,76.919891,57.526791,0.421097204,33.842449,71.215508,54.513851,0.47521179,33.493244,75.049591,56.892345,0.446281499,30.018549,79.065941,57.678322,0.379664728
25.212059,53.381168,39.705997,0.472302498,26.324678,47.056107,37.606354,0.559431701,26.08177,50.249386,38.92831,0.519046541,24.45138,54.589687,39.802837,0.447912075
119.914284,254.290802,191.911835,0.471563592,123.451416,231.1371,182.279297,0.53410472,121.531822,244.654587,188.891724,0.496748594,111.005737,259.949982,192.427673,0.427027293
64.014221,130.205856,100.708954,0.491638571,67.581116,119.382874,96.289932,0.566087193,68.780617,129.481903,102.368347,0.531198688,63.739784,134.309128,103.48111,0.47457522
27.569777,58.762245,43.295715,0.469175012,28.836605,52.491325,40.838871,0.549359442,29.122242,58.59568,43.875088,0.497003226,27.126591,65.996841,45.295155,0.411028628
6.850575,17.748051,12.732334,0.38599027,7.09412,16.018728,12.003511,0.442864128,7.273579,17.691517,12.957745,0.411133709,6.669739,18.823063,13.13259,0.354338664
16.023043,35.432003,26.915714,0.452219509,16.598047,32.693626,25.646414,0.507684495,15.855515,33.166046,25.622765,0.478064675,14.20405,34.665493,25.785467,0.409746084
2.074219,7.279685,4.807624,0.284932521,2.207167,6.555057,4.464267,0.336712099,2.024643,6.435508,4.305459,0.314605001,1.683446,6.653347,4.22687,0.253022426
25.334072,84.634048,57.588871,0.299336645,26.688202,75.044205,53.410976,0.355633083,21.749584,73.014,49.707363,0.297882379,16.209761,76.253227,49.389767,0.212578033
9.680166,27.928444,19.76252,0.346605991,10.175642,25.355354,18.590733,0.401321236,10.19374,27.371428,19.802101,0.372422659,9.07625,29.186663,19.908216,0.310972515
3.222121,15.340162,9.498787,0.210044783,3.542831,13.283251,8.624582,0.26671415,3.7982,15.525723,9.911239,0.244639171,3.012553,16.986073,10.111479,0.177354295
10.991893,44.460213,29.63817,0.247229877,11.14237,39.226563,27.365412,0.284051651,12.090638,44.956261,30.970535,0.26894225,10.742037,51.007587,33.449387,0.210596847
31.353333,75.031998,55.018646,0.417866162,31.700441,67.746773,52.054844,0.467925476,31.561104,72.195595,54.386837,0.437161076,28.357922,76.598122,55.536022,0.370216936
14.193871,30.387844,23.397064,0.467090426,14.705957,28.3361,22.423836,0.518983099,14.539474,29.546326,23.039442,0.492090759,13.441072,31.084841,23.27404,0.432399574
101.02417,224.592194,168.667191,0.449811582,104.920456,204.734299,160.435684,0.512471318,102.775002,215.926956,166.331009,0.475971152,92.80278,228.424667,169.001068,0.406273023
63.765072,137.014359,100.852081,0.465389704,66.313194,122.026192,95.015411,0.543434101,67.620354,136.163361,102.050262,0.496611963,62.813934,145.352173,104.481071,0.432149948
22.939487,40.53212,32.713428,0.565958233,23.515945,38.372517,31.749201,0.612833008,23.812746,40.558155,33.085148,0.587125968,22.854965,41.948776,33.359936,0.544830319
19.074076,51.24802,36.192883,0.372191472,19.341715,45.607304,34.010715,0.424092487,19.982588,50.727997,37.112701,0.393916361,17.832001,54.049366,37.855026,0.329920632
6.396678,15.112168,11.011599,0.423279969,6.539537,14.207559,10.669783,0.460285754,6.517134,14.465924,10.705053,0.450516262,6.238436,14.573142,10.519123,0.428077624
27.113802,79.814873,55.573074,0.339708641,27.509577,71.215858,51.895103,0.386284428,22.890673,69.005844,48.487778,0.331720789,18.810369,74.06118,48.964725,0.253984193
33.78767,69.644577,53.365513,0.485144306,35.679661,63.554531,50.931858,0.561402318,32.455383,61.893833,48.57819,0.524371838,29.792942,65.26783,49.164223,0.456472078
18.315624,51.147923,36.101635,0.358091256,19.400673,45.694309,33.858284,0.424575257,19.802315,50.639229,36.66671,0.391046929,17.290417,54.292904,37.403992,0.318465503
5.485054,22.985199,14.580525,0.238634175,5.939111,19.969559,13.297395,0.29740822,6.340056,23.533407,15.165242,0.269406635,5.448054,25.699745,15.562083,0.21198864
8.009134,28.046795,19.322994,0.285563252,8.278905,25.210226,18.1012,0.328394716,9.070429,28.408552,20.072485,0.319285158,8.132013,31.397276,21.376549,0.259003775
27.579689,73.455383,52.133484,0.375461782,27.523193,65.855522,48.973061,0.417932956,27.418465,70.50956,51.597984,0.388861666,24.624088,75.178772,52.968403,0.327540439
38.975002,82.17202,62.758972,0.474309893,41.043983,75.123833,59.776161,0.546351023,40.439083,79.438232,61.826626,0.50906323,37.59211,83.928719,62.943405,0.447905204
48.949917,119.131508,85.771072,0.410889762,50.148403,106.303337,80.698837,0.471748154,49.157139,113.553703,84.177956,0.432897719,43.726429,121.512169,85.990585,0.359852263
35.974312,69.90818,54.58791,0.514593743,37.525215,64.168335,52.210007,0.584793341,37.880962,69.464058,55.28989,0.545331832,35.143227,73.119972,56.081902,0.480624186
6.885473,15.679666,11.528316,0.439133908,7.0773,15.066191,11.267918,0.469747131,7.174695,15.517442,11.605115,0.462363255,6.923708,15.767749,11.638671,0.439105671
0.952976,2.793568,1.80517,0.341132201,0.949339,2.57895,1.732215,0.368110665,0.938885,2.72943,1.806056,0.343985741,0.884902,2.873279,1.819521,0.307976357
0.732485,1.505436,1.13702,0.48656004,0.745564,1.378844,1.087946,0.540716716,0.733098,1.414804,1.101128,0.518162233,0.689226,1.455609,1.101787,0.47349666
0.687715,1.891433,1.259,0.363594692,0.721857,1.67954,1.176452,0.429794468,0.699039,1.692852,1.16882,0.412935685,0.642149,1.701589,1.169379,0.377381965
3.464532,26.801378,13.629196,0.129266935,3.498034,22.094883,11.694785,0.158318738,2.969411,20.970699,10.705641,0.141598094,2.485125,22.08823,10.84576,0.112509015
24.788393,74.076256,52.115284,0.334633449,25.741251,66.113037,48.90374,0.389352118,24.859999,72.925827,52.18811,0.340894303,19.237499,77.736046,52.340488,0.247472054
21.981041,59.491589,42.455238,0.369481491,23.469225,53.452904,39.91135,0.43906361,24.62875,59.665024,43.847298,0.412783711,22.046965,64.056099,45.128147,0.344182136
20.727133,58.186058,40.391808,0.35622164,21.102308,51.339355,37.730133,0.411035705,22.144585,58.515816,41.81263,0.378437601,20.004999,63.251011,43.282787,0.316279514
9.466375,23.060978,17.209692,0.410493215,9.756438,21.614191,16.559114,0.451390385,10.041924,22.718229,17.334509,0.442020547,9.303289,23.412952,17.477009,0.397356514
14.090625,42.832478,29.502609,0.328970577,13.893478,37.876316,27.644918,0.366811756,13.758395,40.546955,28.980669,0.339320055,11.862474,43.451019,29.572287,0.273007959
104.275002,229.292709,170.773605,0.454768067,106.960365,207.152237,161.629639,0.516337002,105.144142,220.574341,167.951889,0.476683469,95.629059,234.359253,171.186966,0.408044734
59.366562,124.108284,94.141678,0.478344878,61.900665,112.917976,89.299484,0.548191415,63.045422,123.607574,95.613205,0.510044975,58.218155,131.61322,97.382446,0.44234276
