lwr_2050_45,upr_2050_45,m95_2050_45,PfR_2050_45,lwr_2050_85,upr_2050_85,m95_2050_85,PfR_2050_85,lwr_2070_45,upr_2070_45,m95_2070_45,PfR_2070_45,lwr_2070_85,upr_2070_85,m95_2070_85,PfR_2070_85
2.624418,23.458637,11.832541,0.111874275,2.944755,19.830709,10.492012,0.148494691,2.686165,21.385935,10.964157,0.125604282,3.006464,20.421505,10.850091,0.147220491
53.311089,127.232376,94.455147,0.419005686,56.50861,116.250053,89.838692,0.486095348,53.880535,121.759583,91.658211,0.442515765,56.652637,115.987808,89.61779,0.488436138
20.20904,48.773376,35.510826,0.414345728,21.056278,44.034103,33.561844,0.47818115,20.421326,46.277344,34.39687,0.441281289,20.765999,43.878963,33.365425,0.473256376
81.08905,175.401047,132.173203,0.462306533,86.071693,159.347687,125.850136,0.54015025,82.23037,167.219482,128.454056,0.491751135,85.661392,158.940933,125.43042,0.538951108
134.562027,267.808411,205.690689,0.502456314,140.798279,244.942535,196.709213,0.574821678,135.911514,255.7276,200.266998,0.531469869,140.598282,244.798462,196.550003,0.574342996
34.925156,78.583298,58.034283,0.444434847,36.530235,70.564476,54.868755,0.51768591,35.27327,75.180702,56.243736,0.469179844,36.397339,70.473358,54.766918,0.516469486
20.981256,36.501602,29.309671,0.574803703,21.407686,34.525841,28.412153,0.620048213,21.069523,35.564369,28.798206,0.592433483,21.308813,34.442707,28.329245,0.618674165
18.005938,42.944248,31.357204,0.419286373,19.032232,38.823269,29.64658,0.490227446,18.25633,40.965626,30.386257,0.44564997,18.693842,38.489853,29.347256,0.485682343
2.987386,7.822643,5.431117,0.381889599,3.019304,7.464288,5.244065,0.404499934,2.988136,7.666463,5.335739,0.389767224,2.977969,7.370607,5.170791,0.404033074
2.52735,24.842344,12.601341,0.101735569,2.743515,20.260241,10.808102,0.13541374,2.585243,22.625181,11.705634,0.11426397,2.60929,19.224104,10.198453,0.135730123
7.847792,27.37187,18.74225,0.286710115,8.512584,24.590725,17.474014,0.346170518,8.020051,26.017574,18.122372,0.308255143,7.941611,23.84173,16.832207,0.333097095
10.714561,58.012634,36.005394,0.184693579,11.692812,49.705959,32.903011,0.235239642,10.966147,53.507526,34.307835,0.20494588,10.914657,49.158512,32.23188,0.222029849
27.178749,56.024757,43.716991,0.485120337,28.460287,51.593903,41.802128,0.551621129,27.891249,54.364754,42.943779,0.513039183,28.07048,51.915981,41.672169,0.540690544
39.563881,99.357399,70.693375,0.398197632,42.028332,89.038368,66.545349,0.472024959,40.374737,94.315987,68.365669,0.428079462,41.643124,88.719749,66.249817,0.469378289
42.301895,96.524788,73.324806,0.438249033,45.116341,90.388565,70.067833,0.499137706,42.935806,93.515694,71.430252,0.459129416,44.796749,90.083076,69.775383,0.497282631
75.580032,159.162994,118.873947,0.474859326,79.054787,141.454926,112.852058,0.558869099,76.504463,150.031113,115.358978,0.509923985,78.627029,141.047592,112.452232,0.557450346
81.145561,171.254684,129.290817,0.473829732,85.314323,156.040451,122.984154,0.546744914,82.094765,163.603516,125.579628,0.501790958,84.978035,155.827805,122.723686,0.54533294
22.367702,40.706406,32.914764,0.549488501,23.186806,38.036922,31.847366,0.609586811,22.520227,39.310078,32.29356,0.572886856,23.141333,37.916687,31.713577,0.610320543
5.056963,12.841154,9.25806,0.393809077,5.162383,12.054687,8.886413,0.428246955,5.063514,12.485736,9.052771,0.405543894,5.045007,11.967,8.784236,0.421576586
5.271457,20.630257,13.260532,0.255520666,5.56828,18.114199,12.158058,0.307398632,5.345664,19.380472,12.689231,0.275827338,5.287336,17.639551,11.723525,0.29974323
3.584427,11.310628,7.687587,0.316907868,3.670469,10.323185,7.258833,0.355555868,3.616854,10.842852,7.47046,0.333570356,3.315484,10.09095,7.063418,0.328560145
8.784771,38.015247,24.498655,0.231085464,9.656525,33.336285,22.373373,0.2896701,9.020291,35.790211,23.407175,0.25203235,9.130735,32.737019,21.749683,0.27891162
18.09375,56.97443,39.265572,0.317576674,19.773125,51.12912,36.647026,0.386729226,18.489567,54.185013,37.824612,0.341230277,19.116249,50.426003,36.036163,0.379095067
